t_s,phase,temp_c,arm_hz,core_v,throttled,load1,batt_pct,batt_uv
433,video,47.4,1600023552,0.8520,0x0,0.99,70,3693000
438,video,48.0,2400033792,0.8520,0x0,1.08,70,3692000
443,video,47.4,2400023808,0.8520,0x0,0.99,70,3690000
448,video,48.0,1600020224,0.8520,0x0,0.99,70,3693000
453,video,46.3,1600013696,0.8520,0x0,0.99,69,3693000
458,video,48.0,1600017024,0.8520,0x0,0.91,69,3692000
463,video,46.9,1600020224,0.8520,0x0,0.84,69,3690000
468,video,48.0,1600017024,0.8520,0x0,0.93,69,3692000
473,video,48.0,1600013696,0.8520,0x0,0.86,69,3691000
478,video,46.9,1600017024,0.8520,0x0,0.79,69,3690000
483,video,48.0,2400030464,0.8520,0x0,0.72,69,3689000
488,video,47.4,1800015360,0.8520,0x0,0.67,69,3689000
493,video,48.0,1600013696,0.8520,0x0,0.69,69,3689000
498,video,48.0,2400023808,0.8520,0x0,0.72,69,3687000
503,video,48.0,1700014464,0.8520,0x0,0.66,69,3688000
508,video,48.0,2400037120,0.8520,0x0,0.61,69,3687000
513,video,46.9,1700014464,0.8520,0x0,0.56,69,3690000
518,video,47.4,1600020224,0.8520,0x0,0.51,69,3689000
523,video,48.0,2400023808,0.8520,0x0,0.55,69,3688000
528,video,47.4,1700024448,0.8520,0x0,0.51,69,3688000
534,video,48.0,1600020224,0.8520,0x0,0.47,69,3689000
539,video,47.4,1600017024,0.8520,0x0,0.43,69,3689000
544,video,47.4,2400033792,0.8520,0x0,0.39,69,3691000
549,video,47.4,1600013696,0.7500,0x0,0.36,69,3700000
554,video,48.5,2400023808,0.8520,0x0,0.49,69,3654000
559,video,48.5,2400023808,0.8520,0x0,0.45,69,3678000
564,video,49.0,1800018688,0.8520,0x0,0.42,69,3681000
569,video,47.4,1600013696,0.8520,0x0,0.70,69,3683000
574,video,50.1,2400030464,0.8520,0x0,0.81,68,3653000
579,video,49.0,1900026112,0.8520,0x0,0.74,68,3677000
584,video,48.5,1700021120,0.8520,0x0,0.76,68,3678000
589,video,48.5,2400033792,0.8520,0x0,0.78,68,3671000
594,video,48.5,1700024448,0.8520,0x0,0.72,68,3676000
599,video,48.0,1600020224,0.8520,0x0,0.74,68,3678000
